sampling_date,depth,CSC_flag,salinity,temperature,HCO3,CO3,pH_insi,ta,dic,OmegaCalcite,OmegaAragonite,pCO2,fCO2
2022-03-02,50,15,38.1992,13.7851,0.00204774843954385,2.0926986501841163e-4,8.112783933557882,2566.41318,2270.35398,4.835618912731267,3.109308969383253,350.53675184947343,349.25075601771766
2022-03-08,1,15,38.2056,13.7077,0.00205188050583391,2.0134875299089125e-4,8.10673050318401,2551.36017,2267.15334,4.692998468959024,3.0153616967321875,365.14511487173513,363.8041832586677
2022-03-08,50,15,38.2111,13.7124,0.00205658065301758,2.089131066708344e-4,8.105233375881937,2574.1147199999996,2278.9557,4.826962252173357,3.1032957083711796,353.08800093055515,351.7914417210519
2022-03-16,1,15,38.2216,13.6232,0.00204257620942382,2.1219768297961903e-4,8.103185585510507,2568.36357,2267.85348,4.94535711937249,3.1769808674113897,342.1371943840979,340.87943344120674
2022-03-22,1,15,38.2695,13.4996,0.00204624065684956,2.0996121357343237e-4,8.099893526555924,2566.7132399999996,2269.4538,4.891642384399597,3.1417497377365944,345.4173710105211,344.145544560355
2022-03-22,50,15,38.2721,13.5053,0.00205723451512262,2.0056859329191417e-4,8.097679569222482,2555.06091,2271.8042699999996,4.632139282014997,2.9768651389085186,365.0161625629658,363.67224224017394
2022-03-30,1,15,38.2362,13.9382,0.00210889055304637,1.8275342580522584e-4,8.09838528800755,2561.76225,2307.9114900000004,4.258486061785135,2.737521769891209,429.7084900185917,428.1349743189735
2022-03-30,50,15,38.2762,13.5896,0.00209733522313046,1.897208572604885e-4,8.10002229454317,2567.7134399999995,2302.4604,4.381464301048485,2.816257288687766,402.65408490808267,401.1731202950528
2022-04-05,1,15,38.2587,13.7482,0.00209342823243765,1.9016404358801657e-4,8.104847604918044,2564.7128399999997,2298.9597,4.430566462238298,2.8470512101116334,403.6193273263426,402.13780798658394
2022-04-05,50,15,38.2703,13.6938,0.00205434946576217,2.0731063314380712e-4,8.106576528015738,2568.2635499999997,2275.2049500000003,4.787876429728373,3.0781342371703957,355.17755295086255,353.87300869916737
