"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1998-03-04;08:00:00;0;14.171;37.859;"03";"1998";"1998-03"
1998-03-04;08:00:00;50;14.011;37.903;"03";"1998";"1998-03"
1998-03-11;08:00:00;0;13.947;37.901;"03";"1998";"1998-03"
1998-03-11;08:00:00;50;13.859;37.933;"03";"1998";"1998-03"
1998-03-18;08:00:00;0;14.194;37.882;"03";"1998";"1998-03"
1998-03-18;08:00:00;50;13.867;37.925;"03";"1998";"1998-03"
1998-03-25;08:00:00;0;13.959;37.909;"03";"1998";"1998-03"
1998-03-25;08:00:00;50;13.934;37.91;"03";"1998";"1998-03"
1998-04-01;07:00:00;0;14.281;37.928;"04";"1998";"1998-04"
1998-04-01;07:00:00;50;13.809;37.932;"04";"1998";"1998-04"
1998-04-08;07:00:00;0;13.864;37.912;"04";"1998";"1998-04"
1998-04-08;07:00:00;50;13.685;37.979;"04";"1998";"1998-04"
1998-04-15;07:00:00;0;13.47;37.891;"04";"1998";"1998-04"
1998-04-15;07:00:00;50;13.595;38.002;"04";"1998";"1998-04"
1998-04-22;07:00:00;0;15.294;37.867;"04";"1998";"1998-04"
1998-04-22;07:00:00;50;13.975;37.845;"04";"1998";"1998-04"
1998-04-29;07:00:00;0;15.384;37.539;"04";"1998";"1998-04"
1998-04-29;07:00:00;50;14.051;37.856;"04";"1998";"1998-04"
1998-05-06;07:00:00;0;15.726;37.332;"05";"1998";"1998-05"
1998-05-06;07:00:00;50;14.35;37.81;"05";"1998";"1998-05"
1998-05-13;07:00:00;0;18.158;37.451;"05";"1998";"1998-05"
1998-05-13;07:00:00;50;14.278;37.85;"05";"1998";"1998-05"
1998-05-20;07:00:00;0;19.121;37.528;"05";"1998";"1998-05"
1998-05-20;07:00:00;50;14.684;37.874;"05";"1998";"1998-05"
1998-05-27;07:00:00;0;19.475;37.617;"05";"1998";"1998-05"
1998-05-27;07:00:00;50;14.486;37.923;"05";"1998";"1998-05"
1998-06-03;07:00:00;0;19.734;37.307;"06";"1998";"1998-06"
1998-06-03;07:00:00;50;14.984;37.889;"06";"1998";"1998-06"
1998-06-10;07:00:00;0;21.749;37.739;"06";"1998";"1998-06"
1998-06-10;07:00:00;50;15.145;37.878;"06";"1998";"1998-06"
