"datetime";"depth";"temperature";"salinity"
2000-09-20;"0";23.014;38.285
2000-09-20;"50";18.21;38.093
2000-09-27;"0";22.333;38.272
2000-09-27;"50";16.262;38.038
2000-10-04;"0";21.813;38.22
2000-10-04;"50";20.756;38.202
2000-10-18;"0";19.75;37.446
2000-10-18;"50";20.22;37.911
2000-10-25;"0";19.912;37.817
2000-10-25;"50";18.084;38.048
2000-11-02;"0";19.19;37.862
2000-11-02;"50";17.118;38.08
2000-11-10;"0";18.036;37.9
2000-11-10;"50";17.971;37.903
2000-11-15;"0";17.568;37.273
2000-11-15;"50";17.813;38.115
2000-11-22;"0";17.577;37.769
2000-11-22;"50";17.726;38.053
2000-11-29;"0";17.447;37.922
2000-11-29;"50";17.622;38.06
2000-12-05;"0";16.384;37.634
2000-12-05;"50";16.396;38.038
2000-12-13;"0";16.319;38.001
2000-12-13;"50";16.365;38.02
2000-12-20;"0";15.898;38.013
2000-12-20;"50";15.944;38.105
2001-01-04;"0";15.05;38.073
2001-01-04;"50";15.061;38.083
2001-01-11;"0";14.361;37.718
2001-01-11;"50";14.865;38.015
2001-01-17;"0";14.107;37.776
2001-01-17;"50";14.556;37.977
2001-01-31;"0";13.966;38.066
2001-01-31;"50";14.04;38.092
2001-02-08;"0";13.808;37.998
2001-02-08;"50";13.828;38.008
2001-02-14;"0";13.718;37.959
2001-02-14;"50";13.85;38.024
2001-02-22;"0";13.823;37.963
2001-02-22;"50";13.953;38.063
2001-03-02;"0";13.892;38.117
2001-03-02;"50";13.903;38.118
2001-03-07;"0";13.82;37.965
2001-03-07;"50";13.825;38.115
2001-03-15;"0";14.004;38.011
2001-03-15;"50";13.863;38.111
2001-03-27;"0";14.359;37.815
2001-03-27;"50";13.999;38.083
2001-04-04;"0";14.735;37.788
2001-04-04;"50";14.065;38.063
2001-04-11;"0";14.928;37.933
2001-04-11;"50";14.426;38
2001-04-18;"0";14.992;37.968
2001-04-18;"50";14.69;38.019
2001-04-24;"0";14.992;37.994
2001-04-24;"50";14.552;38.032
2001-05-02;"0";15.595;37.661
2001-05-02;"50";15.155;37.954
2001-05-09;"0";16.3;37.133
2001-05-09;"50";14.529;38.008
2001-05-16;"0";18.019;37.732
2001-05-16;"50";14.524;38.012
2001-05-22;"0";18.127;37.84
2001-05-22;"50";17.131;37.961
2001-06-13;"0";20.99;37.915
