"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg"
2005-08-30 09:00:00;1;24.334;38.451;4.82;209.774391367007
2005-09-06 09:00:00;50;14.562;38.155;5.68;246.63841364916
2005-09-06 09:00:00;1;24.237;38.393;4.89;212.823932533508
2005-09-13 09:00:00;50;15.033;38.16;5.79;251.439670128672
2005-09-13 09:00:00;1;22.755;38.277;4.87;211.880866894633
2005-09-20 09:00:00;50;17.15;38.169;5.66;245.911608624469
2005-09-20 09:00:00;1;22.981;38.347;4.91;213.623812608592
2005-09-27 09:00:00;50;15.125;38.136;5.71;247.975033360069
2005-09-27 09:00:00;1;22.697;38.419;4.95;215.335270542032
2005-10-04 09:00:00;50;15.699;38.066;6.02;261.484943567325
2005-10-04 09:00:00;1;21.473;38.33;4.96;215.711057333812
2005-10-11 09:00:00;50;19.855;38.325;5.21;226.486603107192
2005-10-11 09:00:00;1;20.715;38.382;5.07;220.441274520972
2005-10-18 09:00:00;50;20.143;38.383;5.11;222.146602829685
2005-10-18 09:00:00;1;20.32;38.387;5.13;223.025799999569
2005-10-25 09:00:00;50;19.187;38.323;5.23;227.317239861084
2005-10-25 09:00:00;1;19.989;38.318;5.04;219.105247362615
2005-11-02 09:00:00;50;19.644;38.33;5.1;221.691770046401
2005-11-02 09:00:00;1;19.772;38.274;5.17;224.751421745892
2005-11-08 09:00:00;50;19.575;38.284;5.11;222.130106240014
2005-11-08 09:00:00;1;19.633;38.284;5.13;223.002840993831
2005-11-15 09:00:00;50;19.193;38.242;5.13;222.984626544904
2005-11-15 09:00:00;1;19.165;38.238;5.13;222.983700296642
2005-11-23 09:00:00;50;18.136;38.233;5.33;231.618192445396
2005-11-23 09:00:00;1;18.086;38.237;5.32;231.180103384787
2005-11-29 09:00:00;50;16.956;38.263;5.39;234.153610087492
2005-11-29 09:00:00;1;16.95;38.261;5.3;230.243827647196
2005-12-06 09:00:00;50;16.483;38.223;5.37;233.265902041423
2005-12-06 09:00:00;1;16.452;38.218;5.11;221.97107021084
2005-12-13 09:00:00;50;15.436;38.186;5.35;232.348181145503
2005-12-13 09:00:00;1;15.683;38.178;5.3;230.190830093937
2005-12-20 09:00:00;50;14.72;38.12;5.48;237.968345913415
2005-12-20 09:00:00;1;14.712;38.112;5.48;237.969364145792
