"datetime";"temp_eol_c";"sal_eol_psu";"oxy_umol_kg";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"Hour";"NB_OBS_DAY"
2021-06-08;20.87485;37.64705;228.771733602925;"2021";"06";"2021-06";"2021-06-08";30;"09:00:00";2
2021-06-08;22.0137833333333;37.5289166666667;218.852877362683;"2021";"06";"2021-06";"2021-06-08";30;"16:00:00";2
2021-06-09;20.73605;37.6346;217.207395690754;"2021";"06";"2021-06";"2021-06-09";30;"09:00:00";2
2021-06-09;21.6943;37.6506333333333;217.138424082556;"2021";"06";"2021-06";"2021-06-09";30;"16:00:00";2
2021-06-10;20.1098666666667;37.7804166666667;220.374338300198;"2021";"06";"2021-06";"2021-06-10";30;"09:00:00";2
2021-06-10;21.6519166666667;37.7469333333333;214.407486237717;"2021";"06";"2021-06";"2021-06-10";30;"16:00:00";2
2021-06-11;19.98875;37.7690833333333;227.247831282439;"2021";"06";"2021-06";"2021-06-11";30;"09:00:00";2
2021-06-11;21.2102833333333;37.75095;216.955715646482;"2021";"06";"2021-06";"2021-06-11";30;"16:00:00";2
2021-06-12;20.9883833333333;37.7879666666667;224.687365241853;"2021";"06";"2021-06";"2021-06-12";30;"09:00:00";2
2021-06-12;22.5117;37.74345;217.042225573798;"2021";"06";"2021-06";"2021-06-12";30;"16:00:00";2
2021-06-13;21.1751;37.80705;223.811162034604;"2021";"06";"2021-06";"2021-06-13";30;"09:00:00";2
2021-06-13;21.68095;37.8300333333333;220.37916120376;"2021";"06";"2021-06";"2021-06-13";30;"16:00:00";2
2021-06-14;21.9207333333333;37.8476166666667;209.549241571767;"2021";"06";"2021-06";"2021-06-14";30;"09:00:00";2
2021-06-14;22.53555;37.8632833333333;221.840302563298;"2021";"06";"2021-06";"2021-06-14";30;"16:00:00";2
2021-06-15;22.5955166666667;37.8565;213.96071709707;"2021";"06";"2021-06";"2021-06-15";30;"09:00:00";2
2021-06-15;23.5989333333333;37.8599333333333;219.869401467841;"2021";"06";"2021-06";"2021-06-15";30;"16:00:00";2
2021-06-16;22.7474;37.8528;225.960645367051;"2021";"06";"2021-06";"2021-06-16";30;"09:00:00";2
2021-06-16;24.03165;37.8672666666667;219.192113028374;"2021";"06";"2021-06";"2021-06-16";30;"16:00:00";2
2021-06-17;24.0344166666667;37.89115;215.074265222246;"2021";"06";"2021-06";"2021-06-17";30;"09:00:00";2
2021-06-17;24.3143;37.8820333333333;214.730513535833;"2021";"06";"2021-06";"2021-06-17";30;"16:00:00";2
2021-06-18;23.8436333333333;37.7662;213.681690382124;"2021";"06";"2021-06";"2021-06-18";30;"09:00:00";2
2021-06-18;23.826;37.8855166666667;214.176881654164;"2021";"06";"2021-06";"2021-06-18";30;"16:00:00";2
2021-06-19;23.6908833333333;37.8665833333333;215.346891879785;"2021";"06";"2021-06";"2021-06-19";30;"09:00:00";2
2021-06-19;23.7268666666667;37.8926666666667;216.324406207989;"2021";"06";"2021-06";"2021-06-19";30;"16:00:00";2
2021-06-20;23.65395;37.9057833333333;213.778455598113;"2021";"06";"2021-06";"2021-06-20";30;"09:00:00";2
2021-06-20;23.7558333333333;37.92545;211.285881764586;"2021";"06";"2021-06";"2021-06-20";30;"16:00:00";2
2021-06-21;23.5530166666667;37.9547666666667;213.807994685467;"2021";"06";"2021-06";"2021-06-21";30;"09:00:00";2
2021-06-21;24.3244833333333;37.9077333333333;211.447196259393;"2021";"06";"2021-06";"2021-06-21";30;"16:00:00";2
2021-06-22;24.14265;37.9498666666667;214.251868030273;"2021";"06";"2021-06";"2021-06-22";30;"09:00:00";2
2021-06-22;24.6829;37.9596166666667;210.314949268629;"2021";"06";"2021-06";"2021-06-22";30;"16:00:00";2
2021-06-23;24.1627666666667;37.9582666666667;218.379900716894;"2021";"06";"2021-06";"2021-06-23";30;"09:00:00";2
2021-06-23;23.9001833333333;37.9817;210.466083352569;"2021";"06";"2021-06";"2021-06-23";30;"16:00:00";2
2021-06-24;23.9241166666667;37.9640333333333;215.070240262776;"2021";"06";"2021-06";"2021-06-24";30;"09:00:00";2
2021-06-24;23.3363833333333;38.02735;216.778961995416;"2021";"06";"2021-06";"2021-06-24";30;"16:00:00";2
2021-06-25;22.2715666666667;37.9606;220.379158659753;"2021";"06";"2021-06";"2021-06-25";30;"09:00:00";2
2021-06-25;23.1311333333333;38.0063;213.31690252406;"2021";"06";"2021-06";"2021-06-25";30;"16:00:00";2
2021-06-26;22.1570166666667;37.9868333333333;216.640690564197;"2021";"06";"2021-06";"2021-06-26";30;"09:00:00";2
2021-06-26;22.9127;37.9906166666667;216.084060093434;"2021";"06";"2021-06";"2021-06-26";30;"16:00:00";2
2021-06-27;22.8719666666667;38.00115;215.767997674504;"2021";"06";"2021-06";"2021-06-27";30;"09:00:00";2
2021-06-27;23.7709833333333;37.954;214.300414062024;"2021";"06";"2021-06";"2021-06-27";30;"16:00:00";2
2021-06-28;23.2268666666667;37.9913333333333;216.415241524103;"2021";"06";"2021-06";"2021-06-28";30;"09:00:00";2
2021-06-28;24.2420333333333;37.9764833333333;209.109401229852;"2021";"06";"2021-06";"2021-06-28";30;"16:00:00";2
2021-06-29;24.33;37.6673281859411;211.913316248447;"2021";"06";"2021-06";"2021-06-29";30;"09:00:00";2
2021-06-29;24.6688666666667;37.7014962811791;214.527724895745;"2021";"06";"2021-06";"2021-06-29";30;"16:00:00";2
2021-06-30;23.9642833333333;37.7338783219954;213.832197720242;"2021";"06";"2021-06";"2021-06-30";30;"09:00:00";2
2021-06-30;22.05495;37.7423964172336;225.318134186032;"2021";"06";"2021-06";"2021-06-30";30;"16:00:00";2
2021-07-01;20.97535;37.7394451247166;224.39021361281;"2021";"07";"2021-07";"2021-07-01";31;"09:00:00";2
2021-07-01;21.0908833333333;37.7239632199546;226.944814863646;"2021";"07";"2021-07";"2021-07-01";31;"16:00:00";2
2021-07-02;21.0087166666667;37.7304785941043;226.576172079648;"2021";"07";"2021-07";"2021-07-02";31;"09:00:00";2
2021-07-02;22.3149833333333;37.7371300226758;223.015094635126;"2021";"07";"2021-07";"2021-07-02";31;"16:00:00";2
2021-07-03;23.24565;37.7536287301587;212.7253552456;"2021";"07";"2021-07";"2021-07-03";31;"09:00:00";2
2021-07-03;23.8257;37.7647134920635;211.786987345449;"2021";"07";"2021-07";"2021-07-03";31;"16:00:00";2
2021-07-04;24.0754666666667;37.7746288662132;209.594806607922;"2021";"07";"2021-07";"2021-07-04";31;"09:00:00";2
